banting,1
bantu,14
banyan,2
banzai,3
baobab,7
baptista,3
barabbas,2
barba,17
barbara,261
barbarossa,28
barbarous,1
barbiton,1
barbuda,1
barca,13
barcelona,2
bare,4
bari,13
barilla,2
baring,1
barium,1
barks,1
barley,1
barlow,1
barnacle,1
baron,1
barong,2
barozzi,1
barracuda,7
barranca,2
barri,86
barrii,10
barrow,3
baryon,1
basal,1
base,1
basi,4
basidiomycete,2
basilica,59
basilicata,2
basis,4
basra,1
bast,2
basta,4
bastille,2
basuto,27
batangas,2
batavia,2
bates,2
bathos,1
batik,1
batista,1
batman,1
baton,20
batwa,2
bau,2
baucis,22
bavaria,1
bax,4
bay,3
bci,1
bdellium,2
be,2
bea,9
beagle,1
beatty,1
beaufort,1
bechuana,20
bedel,1
bedouin,1
beelzebub,12
beet,1
begum,1
behemoth,2
bei,2
beja,1
bek,2
bela,7
belfort,1
belga,3
belgii,1
belial,4
belisarius,3
belize,3
bell,3
bella,1156
belladonna,46
belle,2
bellerophon,7
bellidis,23
bellies,1
bellini,4
bello,1
bellona,60
belmopan,2
beluga,4
belvedere,1
bemba,4
benedict,1
benedictus,20
benefactor,12
benelux,1
bengal,2
bengali,6
beni,36
benjamin,5
benoni,1
bent,1
benthami,27
benthic,1
benthos,1
benzoin,22
berber,4
berbera,13
berberidis,166
berea,3
beriber,1
bermejo,1
bermuda,4
bermudas,2
bernina,1
bernini,1
bernoulli,2
bertha,23
beryl,1
bes,2
bet,1
beta,352
betel,1
beulah,1
bex,5
bey,1
bezoar,4
bharat,1
bhavani,1
bhutan,1
bi,1
bia,6
biafra,2
biak,8
bias,9
biblus,1
biceps,150
bicolor,5979
bicolorous,2
biconcave,1
bienne,15
bifurcate,1
biga,1
bigener,8
bih,1
bihari,2
bii,6
bijou,1
bikini,1
bilbo,3
billabong,2
billroth,1
bills,1
billy,1
bilocular,1
biloculina,1
bin,2
bine,2
binghi,1
bingo,1
bini,10
binturong,10
bio,1
bios,1
biota,8
biotype,1
bir,1
bireme,2
biretta,1
birma,1
bise,1
bisetous,2
biskra,1
bison,57
bithynia,2
bitumen,2
bivalve,31
black,2
blain,2
blanca,47
blanco,2
blastema,2
blear,1
blue,7
bluff,4
blumei,281
bo,9
boa,37
boabdil,5
boadicea,8
